year;state;month;number
2015;Alagoas;Junho;2
2016;Alagoas;Junho;5
2017;Alagoas;Junho;1
2018;Alagoas;Junho;6
2019;Alagoas;Junho;3
2020;Alagoas;Junho;0
2021;Alagoas;Junho;0
2022;Alagoas;Junho;0
2012;Alagoas;Julho;1
2013;Alagoas;Julho;1
2014;Alagoas;Julho;1
2015;Alagoas;Julho;0
2016;Alagoas;Julho;5
2017;Alagoas;Julho;0
2018;Alagoas;Julho;0
2019;Alagoas;Julho;2
2020;Alagoas;Julho;3
2021;Alagoas;Julho;0
2022;Alagoas;Julho;1
2012;Alagoas;Agosto;0
2013;Alagoas;Agosto;0
2014;Alagoas;Agosto;3
2015;Alagoas;Agosto;3
2016;Alagoas;Agosto;4
2017;Alagoas;Agosto;1
2018;Alagoas;Agosto;12
2019;Alagoas;Agosto;6
2020;Alagoas;Agosto;5
2021;Alagoas;Agosto;2
2022;Alagoas;Agosto;0
2012;Alagoas;Setembro;6
2013;Alagoas;Setembro;5
2014;Alagoas;Setembro;11
2015;Alagoas;Setembro;4
2016;Alagoas;Setembro;15
2017;Alagoas;Setembro;4
2018;Alagoas;Setembro;7
2019;Alagoas;Setembro;12
2020;Alagoas;Setembro;4
2021;Alagoas;Setembro;8
2022;Alagoas;Setembro;12
2012;Alagoas;Outubro;31
2013;Alagoas;Outubro;23
2014;Alagoas;Outubro;3
2015;Alagoas;Outubro;28
2016;Alagoas;Outubro;63
2017;Alagoas;Outubro;12
2018;Alagoas;Outubro;52
2019;Alagoas;Outubro;20
2020;Alagoas;Outubro;25
2021;Alagoas;Outubro;15
2022;Alagoas;Outubro;17
2012;Alagoas;Novembro;85
2013;Alagoas;Novembro;8
2014;Alagoas;Novembro;9
2015;Alagoas;Novembro;118
2016;Alagoas;Novembro;79
2017;Alagoas;Novembro;11
2018;Alagoas;Novembro;41
2019;Alagoas;Novembro;60
2020;Alagoas;Novembro;10
2021;Alagoas;Novembro;20
2022;Alagoas;Novembro;10
2012;Alagoas;Dezembro;55
2013;Alagoas;Dezembro;37
2014;Alagoas;Dezembro;26
2015;Alagoas;Dezembro;111
2016;Alagoas;Dezembro;153
2017;Alagoas;Dezembro;20
2018;Alagoas;Dezembro;35
2019;Alagoas;Dezembro;67
2020;Alagoas;Dezembro;28
2021;Alagoas;Dezembro;11
2022;Alagoas;Dezembro;22
2012;Amapa;Janeiro;34
2013;Amapa;Janeiro;2
2014;Amapa;Janeiro;25
2015;Amapa;Janeiro;27
2016;Amapa;Janeiro;16
2017;Amapa;Janeiro;2
2018;Amapa;Janeiro;14
2019;Amapa;Janeiro;4
2020;Amapa;Janeiro;2
2021;Amapa;Janeiro;0
2022;Amapa;Janeiro;8
2012;Amapa;Fevereiro;8
2013;Amapa;Fevereiro;2
2014;Amapa;Fevereiro;2
2015;Amapa;Fevereiro;0
2016;Amapa;Fevereiro;1
2017;Amapa;Fevereiro;0
2018;Amapa;Fevereiro;1
2019;Amapa;Fevereiro;0
2020;Amapa;Fevereiro;1
2021;Amapa;Fevereiro;1
2022;Amapa;Fevereiro;1
2012;Amapa;Março;3
2013;Amapa;Março;1
2014;Amapa;Março;2
2015;Amapa;Março;1
2016;Amapa;Março;0
2017;Amapa;Março;0
2018;Amapa;Março;0
2019;Amapa;Março;0
2020;Amapa;Março;1
2021;Amapa;Março;1
2022;Amapa;Março;1
2012;Amapa;Abril;2
2013;Amapa;Abril;2
2014;Amapa;Abril;1
2015;Amapa;Abril;0
2016;Amapa;Abril;0
2017;Amapa;Abril;3
2018;Amapa;Abril;1
2019;Amapa;Abril;0
2020;Amapa;Abril;0
2021;Amapa;Abril;0
2022;Amapa;Abril;2
2012;Amapa;Maio;3
2013;Amapa;Maio;1
2014;Amapa;Maio;0
2015;Amapa;Maio;0
2016;Amapa;Maio;3
2017;Amapa;Maio;2
2018;Amapa;Maio;1
2019;Amapa;Maio;0
2020;Amapa;Maio;0
2021;Amapa;Maio;0
2022;Amapa;Maio;1
2012;Amapa;Junho;8
2013;Amapa;Junho;6
2014;Amapa;Junho;2
2015;Amapa;Junho;2
2016;Amapa;Junho;2
2017;Amapa;Junho;2
2018;Amapa;Junho;3
2019;Amapa;Junho;0
2020;Amapa;Junho;3
2021;Amapa;Junho;4
2022;Amapa;Junho;1
2012;Amapa;Julho;6
2013;Amapa;Julho;1
2014;Amapa;Julho;5
2015;Amapa;Julho;4
2016;Amapa;Julho;1
2017;Amapa;Julho;3
2018;Amapa;Julho;4
2019;Amapa;Julho;4
2020;Amapa;Julho;2
2021;Amapa;Julho;5
2022;Amapa;Julho;5
2012;Amapa;Agosto;31
2013;Amapa;Agosto;18
2014;Amapa;Agosto;19
2015;Amapa;Agosto;26
2016;Amapa;Agosto;39
2017;Amapa;Agosto;28
2018;Amapa;Agosto;38
2019;Amapa;Agosto;21
2020;Amapa;Agosto;16
2021;Amapa;Agosto;19
2022;Amapa;Agosto;37
2012;Amapa;Setembro;173
2013;Amapa;Setembro;126
2014;Amapa;Setembro;161
2015;Amapa;Setembro;198
2016;Amapa;Setembro;150
2017;Amapa;Setembro;88
2018;Amapa;Setembro;123
2019;Amapa;Setembro;138
2020;Amapa;Setembro;84
2021;Amapa;Setembro;137
2022;Amapa;Setembro;199
2012;Amapa;Outubro;583
2013;Amapa;Outubro;560
2014;Amapa;Outubro;592
2015;Amapa;Outubro;927
2016;Amapa;Outubro;816
2017;Amapa;Outubro;440
2018;Amapa;Outubro;571
2019;Amapa;Outubro;540
2020;Amapa;Outubro;527
2021;Amapa;Outubro;401
2022;Amapa;Outubro;612
2012;Amapa;Novembro;1.157
2013;Amapa;Novembro;613
2014;Amapa;Novembro;653
